cpu,	xruns,	
74.477966308594,	0.0,	
74.2197265625,	0.0,	
74.271835327148,	0.0,	
74.231460571289,	0.0,	
74.296752929688,	0.0,	
74.201759338379,	0.0,	
74.208641052246,	0.0,	
74.317337036133,	0.0,	
74.443450927734,	0.0,	
74.293533325195,	0.0,	
74.2529296875,	0.0,	
74.168151855469,	0.0,	
74.223190307617,	0.0,	
74.276962280273,	0.0,	
74.344635009766,	0.0,	
74.296829223633,	0.0,	
74.698768615723,	0.0,	
74.341094970703,	0.0,	
74.31982421875,	0.0,	
74.223403930664,	0.0,	
74.145706176758,	0.0,	
74.079727172852,	0.0,	
74.071487426758,	0.0,	
74.070449829102,	0.0,	
74.454788208008,	0.0,	
74.249481201172,	0.0,	
74.158340454102,	0.0,	
74.259475708008,	0.0,	
74.258056640625,	0.0,	
74.201614379883,	0.0,	
74.293014526367,	0.0,	
74.257553100586,	0.0,	
74.675109863281,	0.0,	
74.328765869141,	0.0,	
74.327667236328,	0.0,	
74.796401977539,	0.0,	
74.620559692383,	0.0,	
74.293807983398,	0.0,	
74.187324523926,	0.0,	
74.145889282227,	0.0,	
74.468910217285,	0.0,	
74.185775756836,	0.0,	
74.219734191895,	0.0,	
74.00927734375,	0.0,	
74.048606872559,	0.0,	
74.025390625,	0.0,	
74.074066162109,	0.0,	
73.976989746094,	0.0,	
74.330581665039,	0.0,	
74.07470703125,	0.0,	
73.934883117676,	0.0,	
73.903343200684,	0.0,	
74.086944580078,	0.0,	
74.030181884766,	0.0,	
73.952758789062,	0.0,	
73.882133483887,	0.0,	
77.221008300781,	0.0,	
74.715980529785,	0.0,	
73.996292114258,	0.0,	
73.873497009277,	0.0,	
73.933174133301,	0.0,	
73.921875,	0.0,	
73.906402587891,	0.0,	
73.984169006348,	0.0,	
74.214263916016,	0.0,	
73.919502258301,	0.0,	
73.906097412109,	0.0,	
73.843475341797,	0.0,	
73.845024108887,	0.0,	
73.892105102539,	0.0,	
73.888610839844,	0.0,	
73.93505859375,	0.0,	
74.264389038086,	0.0,	
73.948692321777,	0.0,	
73.937881469727,	0.0,	
73.852142333984,	0.0,	
73.953948974609,	0.0,	
74.248001098633,	0.0,	
74.561386108398,	0.0,	
74.122314453125,	0.0,	
74.508163452148,	0.0,	
74.134414672852,	0.0,	
74.106452941895,	0.0,	
74.30924987793,	0.0,	
74.325225830078,	0.0,	
74.256896972656,	0.0,	
74.31867980957,	0.0,	
74.237319946289,	0.0,	
74.63037109375,	0.0,	
74.280967712402,	0.0,	
74.271667480469,	0.0,	
74.320526123047,	0.0,	
74.303192138672,	0.0,	
74.249450683594,	0.0,	
74.317749023438,	0.0,	
74.195007324219,	0.0,	
75.820693969727,	0.0,	
74.420379638672,	0.0,	
74.20783996582,	0.0,	
74.317245483398,	0.0,	
74.307472229004,	0.0,	
74.212478637695,	0.0,	
74.256866455078,	0.0,	
74.276481628418,	0.0,	
74.738418579102,	0.0,	
74.341369628906,	0.0,	
74.296142578125,	0.0,	
74.20637512207,	0.0,	
74.185775756836,	0.0,	
74.065979003906,	0.0,	
74.252624511719,	0.0,	
74.158737182617,	0.0,	
74.794036865234,	0.0,	
74.409271240234,	0.0,	
74.35179901123,	0.0,	
74.189888000488,	0.0,	
74.352508544922,	0.0,	
74.260299682617,	0.0,	
74.727020263672,	0.0,	
74.518112182617,	0.0,	
74.857711791992,	0.0,	
74.09839630127,	0.0,	
74.029098510742,	0.0,	
73.966690063477,	0.0,	
74.04328918457,	0.0,	
74.090370178223,	0.0,	
74.072814941406,	0.0,	
73.981536865234,	0.0,	
74.57495880127,	0.0,	
73.889572143555,	0.0,	
73.855484008789,	0.0,	
73.809020996094,	0.0,	
73.981376647949,	0.0,	
74.101387023926,	0.0,	
74.102317810059,	0.0,	
74.083686828613,	0.0,	
75.558288574219,	0.0,	
73.984359741211,	0.0,	
73.803665161133,	0.0,	
73.821296691895,	0.0,	
73.940719604492,	0.0,	
73.965019226074,	0.0,	
73.921173095703,	0.0,	
73.920379638672,	0.0,	
73.94841003418,	0.0,	
74.059753417969,	0.0,	
73.923637390137,	0.0,	
73.925369262695,	0.0,	
73.939659118652,	0.0,	
73.908630371094,	0.0,	
73.914123535156,	0.0,	
73.933563232422,	0.0,	
74.737754821777,	0.0,	
73.900543212891,	0.0,	
73.848350524902,	0.0,	
73.859703063965,	0.0,	
73.818923950195,	0.0,	
73.935729980469,	0.0,	
74.015975952148,	0.0,	
73.997871398926,	0.0,	
74.070617675781,	0.0,	
74.384475708008,	0.0,	
74.062683105469,	0.0,	
73.975570678711,	0.0,	
73.983444213867,	0.0,	
74.045379638672,	0.0,	
74.428215026855,	0.0,	
74.124420166016,	0.0,	
74.663154602051,	0.0,	
